# method m1_nocorr   a1_nocorr  c1_nocorr  sigma_m1_nocorr  sigma_a1_nocorr  sigma_c1_nocorr m2_nocorr   a2_nocorr  c2_nocorr  sigma_m2_nocorr  sigma_a2_nocorr  sigma_c2_nocorr m1_metacal   a1_metacal  c1_metacal  sigma_m1_metacal  sigma_a1_metacal  sigma_c1_metacal m2_metacal   a2_metacal  c2_metacal  sigma_m2_metacal  sigma_a2_metacal  sigma_c2_metacal

cgc-regauss 0.0719066859555 -0.0397497558984 2.37298990802e-06 0.00613479863004 0.00377659618091 0.000148491031072 0.0655029974283 -0.0439420710814 -3.77470034077e-06 0.00485527122769 0.00289829204093 0.000130164038643 -0.00606565438292 -0.0207727430753 2.72264663433e-05 0.00558183068232 0.00363200730957 0.000135350271434 0.00429310228918 -0.0216635541279 0.00010126816061 0.00511456767121 0.00297480596987 0.000136896403835 
cgc-ksb -0.153663887732 -0.0303563495946 1.29690445398e-05 0.00410002235251 0.0024493322792 9.94106501729e-05 -0.155291891997 -0.0314648774948 2.63155206789e-05 0.00339026620487 0.00193143802089 9.04501403696e-05 -0.00606565438292 -0.0207727430753 2.72264663433e-05 0.00558183068232 0.00363200730957 0.000135350271434 0.00429310228918 -0.0216635541279 0.00010126816061 0.00511456767121 0.00297480596987 0.000136896403835 
cgc-moments 1.20851204133 2.2402732633 0.000442174677324 0.0690913276809 0.0387755164436 0.00168496487845 1.11187937438 2.3022023748 -0.000388550998557 0.0865411595275 0.0444060099404 0.00228832229016 0.0472053551762 -0.085980394787 -5.08138137876e-05 0.0160833908049 0.0092831548658 0.000397406107309 0.0685914174853 -0.0781246452472 0.000173116633622 0.0170748965071 0.00874944703959 0.000452169645918 
noaber-regauss 0.0406987075235 -0.0273680756586 6.73925048764e-05 0.00287463896159 0.00524397863171 6.90817396862e-05 0.0438610755542 -0.026494324634 -6.26319302358e-05 0.00288245417112 0.00504960942372 7.03705186282e-05 -0.00331880741746 -0.024838774237 1.65443033722e-05 0.00519020592978 0.00952799335838 0.000125439604316 0.000213545754947 -0.0250946223092 3.83118855841e-05 0.00503694183978 0.00885261758183 0.000123207165866 
rgc-regauss 0.030447096932 -0.0295439095314 3.52893745342e-05 0.00516568101018 0.00277279067747 0.000125783662525 0.024896787548 -0.0186493947421 0.000171367810902 0.0050349866537 0.0028435735274 0.000123501757632 -0.00465077061476 -0.00922001891241 5.24461849394e-06 0.00646056657321 0.00336623914019 0.000157494061166 0.0093345097584 -0.00804617974685 -2.70977732435e-05 0.00581257271612 0.00324989576321 0.000143546385034 
rgc-noaber-regauss 0.0164269043314 -0.00221093100853 0.000165231991809 0.00302365151739 0.00578966767324 7.90575111748e-05 0.01742208864 0.00250388328893 1.65606842831e-06 0.00337978524493 0.00641277349753 8.49514661571e-05 0.00619439369262 -0.012725569199 5.6766851049e-06 0.00512419164653 0.00989336908261 0.000134861518228 0.00613648176535 -0.00961986301596 -4.85761034669e-05 0.00502960609133 0.0095247441333 0.000126442768538 
rgc-fixedaber-regauss 0.0616269662211 -0.0254410777038 0.000259719048055 0.00658413453467 0.0162266230718 0.000169073251881 0.0637023832527 -0.0299871136682 4.2105596314e-05 0.0052191762984 0.0121401273194 0.000131159137825 0.00590049333091 0.000275858012621 0.000237905696279 0.00888096725761 0.0220656838353 0.00022717179782 -0.00904642019291 -0.00498060505553 -0.000184548063848 0.0061550937038 0.0146885332512 0.000154511846742 
rgc-ksb -0.127882108892 -0.0249734640001 6.54161152559e-05 0.00376841542438 0.00197792387568 9.18269012629e-05 -0.131830283549 -0.0146456070567 9.99662067543e-05 0.00380323165581 0.00209994523241 9.32573066645e-05 -0.00465077061476 -0.00922001891241 5.24461849394e-06 0.00646056657321 0.00336623914019 0.000157494061166 0.0093345097584 -0.00804617974685 -2.70977732435e-05 0.00581257271612 0.00324989576321 0.000143546385034 
